TEXT_ID,FARM_ID,BEGIN_POP_TOTAL,ANIMAL_IN,DEATH_CULLING_TOTAL,BARN,RAISE_WEEK,RAISE_DAY,BEGIN_POP,FEED_INTAKE_ACTUAL,FEED_TYPE,FEED_INTAKE_STD,ESTIMATED_WEIGHT,CALCULATED_RAISING_WEEK,CALCULATED_RAISING_DAY,START_RAISING_DATE,CREATED_AT,PARENT_BARN,MIN_INDOOR_TEMPERATURE,MAX_INDOOR_TEMPERATURE,MIN_OUTDOOR_TEMPERATURE,MAX_OUTDOOR_TEMPERATURE,DISEASE_NAME_ENGLISH,AFFECTED_COUNT,AFFECTED_PERCENT,DAILY_BEGIN_POP,EXTRACTED_VACCINES,VACCINATION,BRAN_WAREHOUSE,FLIES_DETECTED,GATE_DISINFECTION_PIT,INSECT_NET,LIME_CORRIDOR,RATS_DETECTED,ROUND,FLIES_MOSQUITOES_DETECTED,SPRAYING_DISINFECTANT,SPRAYING_FLY_POISON,SPRINKLING_RAT_BAIT,WILD_ANIMALS_DETECTED,ACTUAL_FOOD_COMES,ACTUAL_PEOPLE_ENTERING,ACTUAL_SUPPLIES,ACTUAL_VEHICLES_ENTERING,PLAN_FOOD_COMES,PLAN_ON_DATE,PLAN_PEOPLE_ENTERING,PLAN_SUPPLIES,PLAN_VEHICLES_ENTERING,ALERT_TOPIC,ALERT_TYPE,REASON,REASON_CATEGORY,RESPIRATORY_PERCENT,RESPIRATORY_PERCENT_FLAG,RESPIRATORY_FLAG,WEATHER_CHANGE_FLAG,TEMP_SWING_FLAG,HUMID_WEATHER_FLAG,HOT_DAY_FLAG,COLD_NIGHT_FLAG,RESPIRATORY_PERCENT_CATEGORY,RESPIRATORY_SEVERITY_LEVEL,FEED_X_AGE,RESP_SEVERITY,TEMP_DIFF,HEAT_STRESS,REASON_SCORE,BARN_TARGET_ENC
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665.0,0.0,3.0,C3,26.0,181.0,566.0,2.12,XK120SF,3.02,96.0,26.0,180.0,0008-11-24,46:14.7,Unknown,18.0,25.0,14.0,25.0,Arthritis,0.0,0.0,566.0,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,0.0,Unknown,Unknown,0.0,Unknown,0.0,Flock Performance,FI Daily,lợn ăn hết cám sớm,feed_issue,,0,0,0,0,0,0,0,no_percentage_reported,no_value,383.72,,11.0,0,0.05,92.07407407407408
cac8a5fb53745c2f0560,8f02ff8e3ad4d38a8ac5,1141.0,0.0,0.0,C2,19.0,130.0,424.0,3.0,XK120SFX,2.48,80.0,19.0,130.0,0027-12-24,26:42.9,Unknown,26.0,29.0,18.0,28.0,Pneumonia,90.0,35.0,424.0,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,0.0,Unknown,Unknown,0.0,Unknown,0.0,Flock Performance,FI Daily,chuyển từ cám xk120sf-x sang xk120f-h,feed_issue,,0,0,0,0,0,0,0,no_percentage_reported,no_value,390.0,,10.0,0,0.05,97.30566037735849
e07eeec043224d791436,83108fcb4b91a2cffb80,2036.0,0.0,1.0,C3,24.0,163.0,802.0,3.04,XK120F-H,2.88,98.0,24.0,163.0,0026-11-24,43:57.7,Unknown,22.0,26.0,19.0,30.0,Sudden death,0.0,0.0,802.0,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,0.0,Unknown,Unknown,0.0,Unknown,0.0,Flock Performance,FI Daily,do chưa cập nhật tiêu chuẩn mới,other,,0,0,0,0,0,0,0,no_percentage_reported,no_value,495.52,,11.0,0,0.0,92.07407407407408
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665.0,0.0,3.0,C3,26.0,181.0,566.0,2.12,XK120SF,3.02,96.0,26.0,180.0,0008-11-24,46:14.7,Unknown,18.0,25.0,14.0,25.0,Fever,0.0,0.0,566.0,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,0.0,Unknown,Unknown,0.0,Unknown,0.0,Animal Health,Pneumonia Daily,"heo bị hô hấp 2,   83%,    nguyên nhân tìm thấy,    thay đổi thời tiết",respiratory_issue,83.0,1,1,1,0,0,0,0,percentage_reported,high,383.72,0.83,11.0,0,0.2,92.07407407407408
b123fbfb2047631c3a53,ab836409a2514b0f1240,1839.0,0.0,0.0,C1,24.0,164.0,761.0,2.84,XK120F-H,2.88,98.0,24.0,164.0,0031-08-24,14:14.9,Unknown,18.0,25.0,15.0,25.0,Fever,0.0,0.0,761.0,Unknown,"SFV1+Circo,FMD",Pass,False,Unknown,Fail,Pass,False,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,False,2.0,False,1.0,False,00:00.0,2.0,False,1.0,Flock Performance,Mortality Total,một số cá thể gặp vấn đề viêm phổi,other,,0,0,0,0,0,0,0,no_percentage_reported,no_value,465.76,,10.0,0,0.0,94.4326923076923
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665.0,0.0,3.0,C2,27.0,187.0,623.0,2.0,XK120SF,3.02,109.0,27.0,187.0,0003-11-24,46:14.7,Unknown,18.0,25.0,14.0,25.0,Pneumonia,0.0,0.0,675.0,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,0.0,Unknown,Unknown,0.0,Unknown,0.0,Animal Health,Pneumonia Daily,"chênh lệch nhiệt độ ngày đêm cao,    thời tiết nồm ẩm",weather_change,,0,0,0,1,1,0,0,no_percentage_reported,no_value,374.0,,11.0,0,0.1,97.30566037735849
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665.0,0.0,3.0,C2,27.0,187.0,623.0,2.0,XK120SF,3.02,109.0,27.0,187.0,0003-11-24,46:14.7,Unknown,18.0,25.0,14.0,25.0,Arthritis,0.0,0.0,675.0,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,0.0,Unknown,Unknown,0.0,Unknown,0.0,Flock Performance,FI Daily,tổng đàn sức khoẻ tốt,other,,0,0,0,0,0,0,0,no_percentage_reported,no_value,374.0,,11.0,0,0.0,97.30566037735849
2e9f49a29e65953ecc71,acaee1bf46e7afb9f6f6,5520.0,0.0,3.0,C8C,12.0,79.0,170.0,0.99,XK120SFK,1.31,98.0,12.0,79.0,0009-02-25,59:53.7,Unknown,17.0,28.0,16.0,28.0,Sudden death,0.0,0.0,152.0,"[
  ""DT1"",
  ""LMLM1"",
  ""PRRS"",
  ""DT2"",
  ""LMLM2""
]",DT1 + LMLM1 + PRRS + DT2 + LMLM2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,0.0,Unknown,Unknown,0.0,Unknown,0.0,Animal Health,Pneumonia Daily,"sự thay đổi về thời tiết,    ngày nắng,    đêm lạnh,   ",weather_change,,0,0,0,0,0,1,1,no_percentage_reported,no_value,78.21,,12.0,0,0.1,98.0
ab3017ad5d2a52710b3e,21352dede9b700e959a6,2656.0,0.0,1.0,C2,25.0,170.0,680.0,2.26,XK120F-H,2.95,92.0,25.0,170.0,0023-11-24,46:26.9,Unknown,26.0,30.0,22.0,28.0,Convulsion,0.0,0.0,680.0,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,0.0,Unknown,Unknown,0.0,Unknown,0.0,Animal Health,Pneumonia Daily,"heo bị hô hấp 4,   04%,    nguyên nhân tìm thấy,    thay đổi thời tiết",respiratory_issue,4.0,1,1,1,0,0,0,0,percentage_reported,medium,384.2,0.04,6.0,0,0.2,97.30566037735849
010a812a24de1e8547ca,7d3b4b3eda6633386a77,24117.0,0.0,0.0,C1,10.0,65.0,616.0,1.04,XK110F-T,1.13,98.0,10.0,65.0,0006-02-25,39:25.1,Unknown,18.0,25.0,15.0,25.0,Convulsion,0.0,0.0,616.0,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",Unknown,False,Pass,Unknown,Unknown,False,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,0.0,Unknown,Unknown,0.0,Unknown,0.0,Animal Health,Vaccine Warning,làm theo quy trình,procedure_issue,,0,0,0,0,0,0,0,no_percentage_reported,no_value,67.60000000000001,,10.0,0,0.0,94.4326923076923
