TEXT_ID,FARM_ID,BEGIN_POP_TOTAL,ANIMAL_IN,DEATH_CULLING_TOTAL,BARN,RAISE_WEEK,RAISE_DAY,BEGIN_POP,FEED_INTAKE_ACTUAL,FEED_TYPE,FEED_INTAKE_STD,ESTIMATED_WEIGHT,CALCULATED_RAISING_WEEK,CALCULATED_RAISING_DAY,START_RAISING_DATE,CREATED_AT,PARENT_BARN,MIN_INDOOR_TEMPERATURE,MAX_INDOOR_TEMPERATURE,MIN_OUTDOOR_TEMPERATURE,MAX_OUTDOOR_TEMPERATURE,DISEASE_NAME_ENGLISH,AFFECTED_COUNT,AFFECTED_PERCENT,DAILY_BEGIN_POP,EXTRACTED_VACCINES,VACCINATION,BRAN_WAREHOUSE,FLIES_DETECTED,GATE_DISINFECTION_PIT,INSECT_NET,LIME_CORRIDOR,RATS_DETECTED,ROUND,FLIES_MOSQUITOES_DETECTED,SPRAYING_DISINFECTANT,SPRAYING_FLY_POISON,SPRINKLING_RAT_BAIT,WILD_ANIMALS_DETECTED,ACTUAL_FOOD_COMES,ACTUAL_PEOPLE_ENTERING,ACTUAL_SUPPLIES,ACTUAL_VEHICLES_ENTERING,PLAN_FOOD_COMES,PLAN_ON_DATE,PLAN_PEOPLE_ENTERING,PLAN_SUPPLIES,PLAN_VEHICLES_ENTERING,ALERT_TOPIC,ALERT_TYPE,REASON
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665,,3,C3,26,181,566,2.12,XK120SF,3.02,96,26,180,0008-11-24,46:14.7,,18,25,14,25,Arthritis,,,566,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,Lợn ăn hết cám sớm
cac8a5fb53745c2f0560,8f02ff8e3ad4d38a8ac5,1141,,0,C2,19,130,424,3,XK120SFX,2.48,80,19,130,0027-12-24,26:42.9,,26,29,18,28,Pneumonia,90,35,424,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,chuyển từ cám Xk120SF-X sang Xk120F-H
e07eeec043224d791436,83108fcb4b91a2cffb80,2036,,1,C3,24,163,802,3.04,XK120F-H,2.88,,24,163,0026-11-24,43:57.7,,22,26,19,30,Sudden death,0,0,802,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,do chưa cập nhật tiêu chuẩn mới
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665,,3,C3,26,181,566,2.12,XK120SF,3.02,96,26,180,0008-11-24,46:14.7,,18,25,14,25,Fever,0,0,566,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Animal Health,Pneumonia Daily,"Heo bị hô hấp 2,83%, nguyên nhân tìm thấy: thay đổi thời tiết"
b123fbfb2047631c3a53,ab836409a2514b0f1240,1839,,0,C1,24,164,761,2.84,XK120F-H,2.88,,24,164,0031-08-24,14:14.9,,,,,,Fever,0,0,761,,"SFV1+Circo,FMD",Pass,FALSE,,Fail,Pass,FALSE,2,,,,,,FALSE,2,FALSE,1,FALSE,00:00.0,2,FALSE,1,Flock Performance,Mortality Total,một số cá thể gặp vấn đề viêm phổi
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665,,3,C2,27,187,623,2,XK120SF,3.02,109,27,187,0003-11-24,46:14.7,,18,25,14,25,Pneumonia,0,0,675,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Animal Health,Pneumonia Daily,"chênh lệch nhiệt độ ngày đêm cao, thời tiết nồm ẩm"
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665,,3,C2,27,187,623,2,XK120SF,3.02,109,27,187,0003-11-24,46:14.7,,18,25,14,25,Arthritis,,,675,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,tổng đàn sức khoẻ tốt
2e9f49a29e65953ecc71,acaee1bf46e7afb9f6f6,5520,,3,C8C,12,79,170,0.99,XK120SFK,1.31,,12,79,0009-02-25,59:53.7,,17,28,16,28,Sudden death,0,0,152,"[
  ""DT1"",
  ""LMLM1"",
  ""PRRS"",
  ""DT2"",
  ""LMLM2""
]",DT1 + LMLM1 + PRRS + DT2 + LMLM2,,,,,,,,,,,,,,,,,,,,,,Animal Health,Pneumonia Daily,"Sự thay đổi về thời tiết, ngày nắng, đêm lạnh."
ab3017ad5d2a52710b3e,21352dede9b700e959a6,2656,,1,C2,25,170,680,2.26,XK120F-H,2.95,92,25,170,0023-11-24,46:26.9,,26,30,22,28,Convulsion,0,0,680,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Animal Health,Pneumonia Daily,"Heo bị hô hấp 4,04%, Nguyên nhân tìm thấy: thay đổi thời tiết"
010a812a24de1e8547ca,7d3b4b3eda6633386a77,24117,,0,C1,10,65,616,1.04,XK110F-T,1.13,,10,65,0006-02-25,39:25.1,,,,,,Convulsion,0,0,616,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,FALSE,Pass,,,FALSE,1,,,,,,,,,,,,,,,Animal Health,Vaccine Warning,làm theo quy trình
